id, type, name, status, description, epic, start, duration
1, TASK, Вынести мусор, IN_PROGRESS, Вынести весь мусор после сортировки, 01.03.2024 10:00, 60
2, EPIC, Поменять зимние шины на летние на автомобиле, NEW, Поменять шины в автомобиле с летних на зимние
7, EPIC, Путешествие на выходные, IN_PROGRESS, Запланировать путешествие на выходные на машине
12, EPIC, Перевести слова на английский, DONE, Только перевести слова с английского
3, SUBTASK, Заказать зимние шины, NEW, Позвонить в фирму по хранению шин и заказать со склада зимние шины, 2, 02.03.2024 10:00, 60
4, SUBTASK, Назначить встречу по замене шин, NEW, Договориться о времени замены шин, 2, 02.03.2024 11:00, 60
5, SUBTASK, Договориться о хранении летних шин, NEW, Договориться о хранении летних шин и выяснить стоимость и сроки хранения, 2, 02.03.2024 12:00, 60
6, SUBTASK, Провести диагностику шин, NEW, Проверить давление и провести балансировку, 2, 02.03.2024 13:00, 60
8, SUBTASK, Выбрать город, NEW, Выбрать город в пределах 300км. где еще не были, 7, 03.03.2024 10:00, 60
9, SUBTASK, Выбрать отель, IN_PROGRESS, Выбрать отель в центре с парковкой, 7, 03.03.2024 11:00, 60
10, SUBTASK, Составить список достопримечательностей, NEW, Найти главные достопримечательности города и составить маршрут посещения, 7, 03.03.2024 12:00, 60
11, SUBTASK, Выбрать рестораны, NEW, Определить список ресторанов по маршруту посещения достопримечательностей, 7, 03.03.2024 13:00, 60
13, SUBTASK, Задача, DONE, Задача - Task, 12, 04.03.2024 10:00, 30
14, SUBTASK, Подзадача, DONE, Подзадача - Subtask, 12, 04.03.2024 10:30, 30
15, SUBTASK, Эпик, DONE, Эпик - Epic, 12, 04.03.2024 11:00, 60
History
9, 13, 14, 15, 12, 1, 